,DateTime,CaminhoTabela,X.head,MLPClassifier,accuracy,
Versao 1 BTCUSD,11/11/19 23:49,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,",1.00,
,11/11/19 23:52,-,-,"       beta_2=0.999, early_stopping=False, epsilon=1e-08,",1.00,
,11/11/19 23:52,-,-,"       hidden_layer_sizes=(100,), learning_rate='constant',",1.00,
,11/11/19 23:52,-,-,"       learning_rate_init=0.001, max_iter=200, momentum=0.9,",1.00,
,11/11/19 23:52,-,-,"       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",1.00,
,11/11/19 23:52,-,-,"       random_state=None, shuffle=True, solver='adam', tol=0.0001,",1.00,
,11/11/19 23:52,-,-,"       validation_fraction=0.1, verbose=False, warm_start=False)",1.00,
,11/11/19 23:52,-,-,,1.00,
,11/11/19 23:52,-,-,,1.00,
,11/11/19 23:52,-,-,,1.00,
Versao 1 B3SA3,11/11/19 23:57,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,",0.99,
,11/11/19 23:57,-,-,"       beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,11/11/19 23:57,-,-,"       hidden_layer_sizes=(100,), learning_rate='constant',",0.99,
,11/11/19 23:57,-,-,"       learning_rate_init=0.001, max_iter=200, momentum=0.9,",0.99,
,11/11/19 23:57,-,-,"       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,11/11/19 23:57,-,-,"       random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,11/11/19 23:57,-,-,"       validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,11/11/19 23:57,-,-,,0.99,
,11/11/19 23:57,-,-,,0.99,
,11/11/19 23:57,-,-,,0.99,
Versao 2 BTCUSD,12/11/19 06:44,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='logistic',alpha=0.0001,batch_size='auto',beta_1=0.9,beta_2=0.999,early_stopping=False, epsilon=1e08,hidden_layer_sizes=(100,),learning_rate='constant',learning_rate_init=0.001,max_iter=200,momentum=0.9,n_iter_no_change=10,nesterovs_momentum=True,power_t=0.5,random_state=None,shuffle=True,solver='adam',tol=0.0001,validation_fraction=0.1, verbose=False, warm_start=False)",1.00,"/usr/local/lib/python3.6/dist-packages/sklearn/neural_network/multilayer_perceptron.py:566: ConvergenceWarning: Stochastic Optimizer: Maximum iterations (200) reached and the optimization hasn't converged yet. % self.max_iter, ConvergenceWarning)"
,12/11/19 06:49,-,-,"MLPClassifier(activation='logistic',alpha=0.0001,batch_size='auto',beta_1=0.9,beta_2=0.999,early_stopping=False,epsilon=1e-08,hidden_layer_sizes=(100,),learning_rate='constant',learning_rate_init=0.001,max_iter=1000,momentum=0.9,n_iter_no_change=10,nesterovs_momentum=True,power_t=0.5,random_state=None,shuffle=True,solver'adam',tol=0.0001,validation_fraction=0.1,verbose=False,warm_start=False)",1.00,
,12/11/19 06:55,-,-,,1.00,
,12/11/19 06:56,-,-,,1.00,
,12/11/19 06:56,-,-,,1.00,
,12/11/19 06:56,-,-,,1.00,
,12/11/19 06:56,-,-,,1.00,
,12/11/19 06:56,-,-,,1.00,
,12/11/19 06:57,-,-,,1.00,
,12/11/19 06:57,-,-,,1.00,
Versao 2 B3SA3,12/11/19 06:59,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='logistic', alpha=0.0001, batch_size='auto',",0.99,
,12/11/19 06:59,-,-,"              beta_1=0.9, beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,12/11/19 06:59,-,-,"              hidden_layer_sizes=(100,), learning_rate='constant',",0.99,
,12/11/19 06:59,-,-,"              learning_rate_init=0.001, max_iter=1000, momentum=0.9,",0.99,
,12/11/19 07:00,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,12/11/19 07:00,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,12/11/19 07:00,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,12/11/19 07:00,-,-,,0.99,
,12/11/19 07:00,-,-,,0.99,
,12/11/19 07:00,-,-,,0.99,
Versao 3 BTCUSD,12/11/19 07:07,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='tanh', alpha=0.0001, batch_size='auto', beta_1=0.9,",1.00,
,12/11/19 07:08,-,-,"              beta_2=0.999, early_stopping=False, epsilon=1e-08,",1.00,
,12/11/19 07:08,-,-,"              hidden_layer_sizes=(100,), learning_rate='constant',",1.00,
,12/11/19 07:08,-,-,"              learning_rate_init=0.001, max_iter=200, momentum=0.9,",1.00,
,12/11/19 07:08,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",1.00,
,12/11/19 07:08,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",1.00,
,12/11/19 07:09,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",1.00,
,12/11/19 07:09,-,-,,1.00,
,12/11/19 07:09,-,-,,1.00,
,12/11/19 07:09,-,-,,1.00,
Versao 3 B3SA3,12/11/19 07:05,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='tanh', alpha=0.0001, batch_size='auto', beta_1=0.9,",0.99,
,12/11/19 07:06,-,-,"              beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,12/11/19 07:06,-,-,"              hidden_layer_sizes=(100,), learning_rate='constant',",0.99,
,12/11/19 07:06,-,-,"              learning_rate_init=0.001, max_iter=200, momentum=0.9,",0.99,
,12/11/19 07:06,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,12/11/19 07:06,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,12/11/19 07:06,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,12/11/19 07:06,-,-,,0.99,
,12/11/19 07:06,-,-,,0.99,
,12/11/19 07:06,-,-,,0.99,
Versao 4 BTCUSD,12/11/19 09:57,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='tanh', alpha=0.0001, batch_size='auto', beta_1=0.9,",1.00,
,12/11/19 09:57,-,-,"              beta_2=0.999, early_stopping=False, epsilon=1e-08,",1.00,
,12/11/19 09:58,-,-,"              hidden_layer_sizes=(100,), learning_rate='constant',",1.00,
,12/11/19 09:58,-,-,"              learning_rate_init=0.001, max_iter=1000, momentum=0.9,",1.00,
,12/11/19 09:58,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",1.00,
,12/11/19 09:58,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",1.00,
,12/11/19 09:58,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",1.00,
,12/11/19 09:58,-,-,,1.00,
,12/11/19 09:58,-,-,,1.00,
,12/11/19 09:58,-,-,,1.00,
Versao 4 B3SA3,12/11/19 10:14,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='tanh', alpha=0.0001, batch_size='auto', beta_1=0.9,",0.99,
,12/11/19 10:14,-,-,"              beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,12/11/19 10:15,-,-,"              hidden_layer_sizes=(100,), learning_rate='constant',",0.99,
,12/11/19 10:15,-,-,"              learning_rate_init=0.001, max_iter=1000, momentum=0.9,",0.99,
,12/11/19 10:15,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,12/11/19 10:15,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,12/11/19 10:15,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,12/11/19 10:15,-,-,,0.99,
,12/11/19 10:15,-,-,,0.99,
,12/11/19 10:15,-,-,,0.99,
Versao 5 BTCUSD,12/11/19 06:10,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='logistic', alpha=0.0001, batch_size='auto',",1.00,
,12/11/19 06:12,-,-,"              beta_1=0.9, beta_2=0.999, early_stopping=False, epsilon=1e-08,",1.00,
,12/11/19 06:14,-,-,"              hidden_layer_sizes=(1000,), learning_rate='constant',",1.00,
,12/11/19 06:15,-,-,"              learning_rate_init=0.001, max_iter=2000, momentum=0.9,",1.00,
,12/11/19 06:16,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",1.00,
,12/11/19 06:36,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",1.00,
,12/11/19 06:37,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",1.00,
,12/11/19 06:39,-,-,,1.00,
,12/11/19 06:40,-,-,,1.00,
,12/11/19 06:40,-,-,,1.00,
Versao 5 B3SA3,12/11/19 05:58,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='logistic', alpha=0.0001, batch_size='auto',",0.99,
,12/11/19 05:59,-,-,"              beta_1=0.9, beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,12/11/19 06:02,-,-,"              hidden_layer_sizes=(1000,), learning_rate='constant',",0.99,
,12/11/19 06:03,-,-,"              learning_rate_init=0.001, max_iter=2000, momentum=0.9,",0.99,
,12/11/19 06:03,-,-,"              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,12/11/19 06:04,-,-,"              random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,12/11/19 06:05,-,-,"              validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,12/11/19 06:06,-,-,,0.99,
,12/11/19 06:07,-,-,,0.99,
,12/11/19 06:08,-,-,,0.99,
