Fechamento,Abertura,Maxima,Minima,Resultado
13.3,13.3,13.3,13.3,1
13.3,13.3,13.3,13.3,1
13.4,13.4,13.4,13.4,1
13.5,13.5,13.5,13.5,1
13.4,13.4,13.4,13.4,1
13.4,13.4,13.4,13.4,1
13.6,13.6,13.6,13.6,1
13.7,13.7,13.7,13.7,1
13.8,13.8,13.8,13.8,1
14.1,14.1,14.1,14.1,1
14.1,14.1,14.1,14.1,1
14.2,14.2,14.2,14.2,1
14.1,14.1,14.1,14.1,1
14.3,14.3,14.3,14.3,1
14.3,14.3,14.3,14.3,1
14.7,14.7,14.7,14.7,1
15.5,15.5,15.5,15.5,1
15.7,15.7,15.7,15.7,1
15.6,15.6,15.6,15.6,1
15.7,15.7,15.7,15.7,1
16.8,16.8,16.8,16.8,1
17.3,17.3,17.3,17.3,1
17.5,17.5,17.5,17.5,1
16.9,16.9,16.9,16.9,1
17.4,17.4,17.4,17.4,1
17.9,17.9,17.9,17.9,1
17.8,17.8,17.8,17.8,1
18.7,18.7,18.7,18.7,1
19.5,19.5,19.5,19.5,1